"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2022-11-13","2022","11","0.0067122785","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2022-11-01","2022","11","12.3019033197","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2022-11-02","2022","11","13.5651672111","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2022-11-03","2022","11","2.8258080645","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2022-11-04","2022","11","1.7358394143","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2022-11-05","2022","11","0.6559156337","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2022-11-07","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2022-11-06","2022","11","0.3322359475","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2022-11-08","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2022-11-09","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2022-11-10","2022","11","0.1131194494","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2022-11-11","2022","11","0.2718862084","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between krishna and Pennar","2022-11-12","2022","11","11.4085954309","NRSC VIC MODEL"
