"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Cauvery Basin","Cauvery Middle","2023-02-07","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-08","2023","02","0.0023048487","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-11","2023","02","0.0001404117","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-12","2023","02","0.0904459529","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-13","2023","02","8.25119E-5","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-15","2023","02","0.0089430392","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-16","2023","02","0.0091905155","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-17","2023","02","0.0081550434","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-18","2023","02","0.0169892095","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-19","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-21","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-20","2023","02","2.96792E-5","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-23","2023","02","0.0017175685","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-01","2023","02","0.0101394191","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-02","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-04","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2023-02-03","2023","02","6.72E-8","NRSC VIC MODEL"
