Basin,Date,Evapotranspiration (mm),Year
Brahmani and Baitarni Basin,2022-12-15,0.46,2022
Brahmani and Baitarni Basin,2022-12-16,0.42,2022
Brahmani and Baitarni Basin,2022-12-17,0.4,2022
Brahmani and Baitarni Basin,2022-12-18,0.38,2022
Brahmani and Baitarni Basin,2022-12-19,0.39,2022
Brahmani and Baitarni Basin,2022-12-20,0.41,2022
Brahmani and Baitarni Basin,2022-12-21,0.4,2022
Brahmani and Baitarni Basin,2022-12-22,0.39,2022
Brahmani and Baitarni Basin,2022-12-23,0.42,2022
Brahmani and Baitarni Basin,2022-12-24,0.43,2022
Brahmani and Baitarni Basin,2022-12-25,0.42,2022
Brahmani and Baitarni Basin,2022-12-26,0.41,2022
Brahmani and Baitarni Basin,2022-12-27,0.39,2022
Brahmani and Baitarni Basin,2022-12-28,0.36,2022
Brahmani and Baitarni Basin,2022-12-29,0.33,2022
Brahmani and Baitarni Basin,2022-12-30,0.36,2022
Brahmani and Baitarni Basin,2022-12-31,0.37,2022
Brahmani and Baitarni Basin,2023-01-01,0.28,2023
Brahmani and Baitarni Basin,2023-01-02,0.25,2023
Brahmani and Baitarni Basin,2023-01-03,0.26,2023
Brahmani and Baitarni Basin,2023-01-04,0.27,2023
Brahmani and Baitarni Basin,2023-01-05,0.26,2023
Brahmani and Baitarni Basin,2023-01-06,0.28,2023
